p cnf 153 6120
-3 -54 -120 -12 0
19 54 120 28 0
-19 -54 -120 -28 0
34 54 120 43 0
-34 -54 -120 -43 0
4 67 120 12 0
-4 -67 -120 -12 0
20 67 120 28 0
-20 -67 -120 -28 0
35 67 120 43 0
-35 -67 -120 -43 0
49 67 120 57 0
-49 -67 -120 -57 0
5 79 120 12 0
-5 -79 -120 -12 0
21 79 120 28 0
-21 -79 -120 -28 0
36 79 120 43 0
-36 -79 -120 -43 0
50 79 120 57 0
-50 -79 -120 -57 0
63 79 120 70 0
-63 -79 -120 -70 0
6 90 120 12 0
-6 -90 -120 -12 0
22 90 120 28 0
-22 -90 -120 -28 0
37 90 120 43 0
-37 -90 -120 -43 0
51 90 120 57 0
-51 -90 -120 -57 0
64 90 120 70 0
-64 -90 -120 -70 0
76 90 120 82 0
-76 -90 -120 -82 0
7 100 120 12 0
-7 -100 -120 -12 0
23 100 120 28 0
-23 -100 -120 -28 0
38 100 120 43 0
-38 -100 -120 -43 0
52 100 120 57 0
-52 -100 -120 -57 0
65 100 120 70 0
-65 -100 -120 -70 0
77 100 120 82 0
-77 -100 -120 -82 0
88 100 120 93 0
-88 -100 -120 -93 0
8 109 120 12 0
-8 -109 -120 -12 0
24 109 120 28 0
-24 -109 -120 -28 0
39 109 120 43 0
-39 -109 -120 -43 0
53 109 120 57 0
-53 -109 -120 -57 0
66 109 120 70 0
-66 -109 -120 -70 0
78 109 120 82 0
-78 -109 -120 -82 0
89 109 120 93 0
-89 -109 -120 -93 0
99 109 120 103 0
-99 -109 -120 -103 0
1 26 127 12 0
-1 -26 -127 -12 0
2 41 127 12 0
-2 -41 -127 -12 0
18 41 127 28 0
-18 -41 -127 -28 0
3 55 127 12 0
-3 -55 -127 -12 0
19 55 127 28 0
-19 -55 -127 -28 0
34 55 127 43 0
-34 -55 -127 -43 0
4 68 127 12 0
-4 -68 -127 -12 0
20 68 127 28 0
-20 -68 -127 -28 0
35 68 127 43 0
-35 -68 -127 -43 0
49 68 127 57 0
-49 -68 -127 -57 0
5 80 127 12 0
-5 -80 -127 -12 0
21 80 127 28 0
-21 -80 -127 -28 0
36 80 127 43 0
-36 -80 -127 -43 0
50 80 127 57 0
-50 -80 -127 -57 0
63 80 127 70 0
-63 -80 -127 -70 0
6 91 127 12 0
-6 -91 -127 -12 0
22 91 127 28 0
-22 -91 -127 -28 0
37 91 127 43 0
-37 -91 -127 -43 0
51 91 127 57 0
-51 -91 -127 -57 0
64 91 127 70 0
-64 -91 -127 -70 0
76 91 127 82 0
-76 -91 -127 -82 0
7 101 127 12 0
-7 -101 -127 -12 0
23 101 127 28 0
-23 -101 -127 -28 0
38 101 127 43 0
-38 -101 -127 -43 0
52 101 127 57 0
-52 -101 -127 -57 0
65 101 127 70 0
-65 -101 -127 -70 0
77 101 127 82 0
-77 -101 -127 -82 0
88 101 127 93 0
-88 -101 -127 -93 0
8 110 127 12 0
-8 -110 -127 -12 0
24 110 127 28 0
-24 -110 -127 -28 0
39 110 127 43 0
-39 -110 -127 -43 0
53 110 127 57 0
-53 -110 -127 -57 0
66 110 127 70 0
-66 -110 -127 -70 0
78 110 127 82 0
-78 -110 -127 -82 0
89 110 127 93 0
-89 -110 -127 -93 0
99 110 127 103 0
-99 -110 -127 -103 0
9 118 127 12 0
-9 -118 -127 -12 0
25 118 127 28 0
-25 -118 -127 -28 0
40 118 127 43 0
-40 -118 -127 -43 0
54 118 127 57 0
-54 -118 -127 -57 0
67 118 127 70 0
-67 -118 -127 -70 0
79 118 127 82 0
-79 -118 -127 -82 0
90 118 127 93 0
-90 -118 -127 -93 0
100 118 127 103 0
-100 -118 -127 -103 0
109 118 127 112 0
-109 -118 -127 -112 0
1 27 133 12 0
-1 -27 -133 -12 0
2 42 133 12 0
-2 -42 -133 -12 0
18 42 133 28 0
-18 -42 -133 -28 0
3 56 133 12 0
-3 -56 -133 -12 0
19 56 133 28 0
-19 -56 -133 -28 0
34 56 133 43 0
-34 -56 -133 -43 0
4 69 133 12 0
-4 -69 -133 -12 0
20 69 133 28 0
-20 -69 -133 -28 0
35 69 133 43 0
-35 -69 -133 -43 0
49 69 133 57 0
-49 -69 -133 -57 0
5 81 133 12 0
-5 -81 -133 -12 0
21 81 133 28 0
-21 -81 -133 -28 0
36 81 133 43 0
-36 -81 -133 -43 0
50 81 133 57 0
-50 -81 -133 -57 0
63 81 133 70 0
-63 -81 -133 -70 0
6 92 133 12 0
-6 -92 -133 -12 0
22 92 133 28 0
-22 -92 -133 -28 0
37 92 133 43 0
-37 -92 -133 -43 0
51 92 133 57 0
-51 -92 -133 -57 0
64 92 133 70 0
-64 -92 -133 -70 0
76 92 133 82 0
-76 -92 -133 -82 0
7 102 133 12 0
-7 -102 -133 -12 0
23 102 133 28 0
-23 -102 -133 -28 0
38 102 133 43 0
-38 -102 -133 -43 0
52 102 133 57 0
-52 -102 -133 -57 0
65 102 133 70 0
-65 -102 -133 -70 0
77 102 133 82 0
-77 -102 -133 -82 0
88 102 133 93 0
-88 -102 -133 -93 0
8 111 133 12 0
-8 -111 -133 -12 0
24 111 133 28 0
-24 -111 -133 -28 0
39 111 133 43 0
-39 -111 -133 -43 0
53 111 133 57 0
-53 -111 -133 -57 0
66 111 133 70 0
-66 -111 -133 -70 0
78 111 133 82 0
-78 -111 -133 -82 0
89 111 133 93 0
-89 -111 -133 -93 0
99 111 133 103 0
-99 -111 -133 -103 0
9 119 133 12 0
-9 -119 -133 -12 0
25 119 133 28 0
-25 -119 -133 -28 0
40 119 133 43 0
-40 -119 -133 -43 0
54 119 133 57 0
-54 -119 -133 -57 0
67 119 133 70 0
-67 -119 -133 -70 0
79 119 133 82 0
-79 -119 -133 -82 0
90 119 133 93 0
-90 -119 -133 -93 0
100 119 133 103 0
-100 -119 -133 -103 0
109 119 133 112 0
-109 -119 -133 -112 0
10 126 133 12 0
-10 -126 -133 -12 0
26 126 133 28 0
-26 -126 -133 -28 0
41 126 133 43 0
-41 -126 -133 -43 0
55 126 133 57 0
-55 -126 -133 -57 0
68 126 133 70 0
-68 -126 -133 -70 0
80 126 133 82 0
-80 -126 -133 -82 0
91 126 133 93 0
-91 -126 -133 -93 0
101 126 133 103 0
-101 -126 -133 -103 0
110 126 133 112 0
-110 -126 -133 -112 0
118 126 133 120 0
-118 -126 -133 -120 0
1 18 44 13 0
-1 -18 -44 -13 0
1 19 58 13 0
-1 -19 -58 -13 0
2 34 58 13 0
-2 -34 -58 -13 0
18 34 58 29 0
-18 -34 -58 -29 0
1 20 71 13 0
-1 -20 -71 -13 0
2 35 71 13 0
-2 -35 -71 -13 0
18 35 71 29 0
-18 -35 -71 -29 0
3 49 71 13 0
-3 -49 -71 -13 0
19 49 71 29 0
-19 -49 -71 -29 0
34 49 71 44 0
-34 -49 -71 -44 0
1 21 83 13 0
-1 -21 -83 -13 0
2 36 83 13 0
-2 -36 -83 -13 0
18 36 83 29 0
-18 -36 -83 -29 0
3 50 83 13 0
-3 -50 -83 -13 0
19 50 83 29 0
-19 -50 -83 -29 0
34 50 83 44 0
-34 -50 -83 -44 0
4 63 83 13 0
-4 -63 -83 -13 0
20 63 83 29 0
-20 -63 -83 -29 0
35 63 83 44 0
-35 -63 -83 -44 0
49 63 83 58 0
-49 -63 -83 -58 0
1 22 94 13 0
-1 -22 -94 -13 0
2 37 94 13 0
-2 -37 -94 -13 0
18 37 94 29 0
-18 -37 -94 -29 0
3 51 94 13 0
-3 -51 -94 -13 0
19 51 94 29 0
-19 -51 -94 -29 0
34 51 94 44 0
-34 -51 -94 -44 0
4 64 94 13 0
-4 -64 -94 -13 0
20 64 94 29 0
-20 -64 -94 -29 0
35 64 94 44 0
-35 -64 -94 -44 0
49 64 94 58 0
-49 -64 -94 -58 0
5 76 94 13 0
-5 -76 -94 -13 0
21 76 94 29 0
-21 -76 -94 -29 0
36 76 94 44 0
-36 -76 -94 -44 0
50 76 94 58 0
-50 -76 -94 -58 0
63 76 94 71 0
-63 -76 -94 -71 0
1 23 104 13 0
-1 -23 -104 -13 0
2 38 104 13 0
-2 -38 -104 -13 0
18 38 104 29 0
-18 -38 -104 -29 0
3 52 104 13 0
-3 -52 -104 -13 0
19 52 104 29 0
-19 -52 -104 -29 0
34 52 104 44 0
-34 -52 -104 -44 0
4 65 104 13 0
-4 -65 -104 -13 0
20 65 104 29 0
-20 -65 -104 -29 0
35 65 104 44 0
-35 -65 -104 -44 0
49 65 104 58 0
-49 -65 -104 -58 0
5 77 104 13 0
-5 -77 -104 -13 0
21 77 104 29 0
-21 -77 -104 -29 0
36 77 104 44 0
-36 -77 -104 -44 0
50 77 104 58 0
-50 -77 -104 -58 0
63 77 104 71 0
-63 -77 -104 -71 0
6 88 104 13 0
-6 -88 -104 -13 0
22 88 104 29 0
-22 -88 -104 -29 0
37 88 104 44 0
-37 -88 -104 -44 0
51 88 104 58 0
-51 -88 -104 -58 0
64 88 104 71 0
-64 -88 -104 -71 0
76 88 104 83 0
-76 -88 -104 -83 0
1 24 113 13 0
-1 -24 -113 -13 0
2 39 113 13 0
-2 -39 -113 -13 0
18 39 113 29 0
-18 -39 -113 -29 0
3 53 113 13 0
-3 -53 -113 -13 0
19 53 113 29 0
-19 -53 -113 -29 0
34 53 113 44 0
-34 -53 -113 -44 0
4 66 113 13 0
-4 -66 -113 -13 0
20 66 113 29 0
-20 -66 -113 -29 0
35 66 113 44 0
-35 -66 -113 -44 0
49 66 113 58 0
-49 -66 -113 -58 0
5 78 113 13 0
-5 -78 -113 -13 0
21 78 113 29 0
-21 -78 -113 -29 0
36 78 113 44 0
-36 -78 -113 -44 0
50 78 113 58 0
-50 -78 -113 -58 0
63 78 113 71 0
-63 -78 -113 -71 0
6 89 113 13 0
-6 -89 -113 -13 0
22 89 113 29 0
-22 -89 -113 -29 0
37 89 113 44 0
-37 -89 -113 -44 0
51 89 113 58 0
-51 -89 -113 -58 0
64 89 113 71 0
-64 -89 -113 -71 0
76 89 113 83 0
-76 -89 -113 -83 0
7 99 113 13 0
-7 -99 -113 -13 0
23 99 113 29 0
-23 -99 -113 -29 0
38 99 113 44 0
-38 -99 -113 -44 0
52 99 113 58 0
-52 -99 -113 -58 0
65 99 113 71 0
-65 -99 -113 -71 0
77 99 113 83 0
-77 -99 -113 -83 0
88 99 113 94 0
-88 -99 -113 -94 0
1 25 121 13 0
-1 -25 -121 -13 0
2 40 121 13 0
-2 -40 -121 -13 0
18 40 121 29 0
-18 -40 -121 -29 0
3 54 121 13 0
-3 -54 -121 -13 0
19 54 121 29 0
-19 -54 -121 -29 0
34 54 121 44 0
-34 -54 -121 -44 0
4 67 121 13 0
-4 -67 -121 -13 0
20 67 121 29 0
-20 -67 -121 -29 0
35 67 121 44 0
-35 -67 -121 -44 0
49 67 121 58 0
-49 -67 -121 -58 0
5 79 121 13 0
-5 -79 -121 -13 0
21 79 121 29 0
-21 -79 -121 -29 0
36 79 121 44 0
-36 -79 -121 -44 0
50 79 121 58 0
-50 -79 -121 -58 0
63 79 121 71 0
-63 -79 -121 -71 0
6 90 121 13 0
-6 -90 -121 -13 0
22 90 121 29 0
-22 -90 -121 -29 0
37 90 121 44 0
-37 -90 -121 -44 0
51 90 121 58 0
-51 -90 -121 -58 0
64 90 121 71 0
-64 -90 -121 -71 0
76 90 121 83 0
-76 -90 -121 -83 0
7 100 121 13 0
-7 -100 -121 -13 0
23 100 121 29 0
-23 -100 -121 -29 0
38 100 121 44 0
-38 -100 -121 -44 0
52 100 121 58 0
-52 -100 -121 -58 0
65 100 121 71 0
-65 -100 -121 -71 0
77 100 121 83 0
-77 -100 -121 -83 0
88 100 121 94 0
-88 -100 -121 -94 0
8 109 121 13 0
-8 -109 -121 -13 0
24 109 121 29 0
-24 -109 -121 -29 0
39 109 121 44 0
-39 -109 -121 -44 0
53 109 121 58 0
-53 -109 -121 -58 0
66 109 121 71 0
-66 -109 -121 -71 0
78 109 121 83 0
-78 -109 -121 -83 0
89 109 121 94 0
-89 -109 -121 -94 0
99 109 121 104 0
-99 -109 -121 -104 0
1 26 128 13 0
-1 -26 -128 -13 0
2 41 128 13 0
-2 -41 -128 -13 0
18 41 128 29 0
-18 -41 -128 -29 0
3 55 128 13 0
-3 -55 -128 -13 0
19 55 128 29 0
-19 -55 -128 -29 0
34 55 128 44 0
-34 -55 -128 -44 0
4 68 128 13 0
-4 -68 -128 -13 0
20 68 128 29 0
-20 -68 -128 -29 0
35 68 128 44 0
-35 -68 -128 -44 0
49 68 128 58 0
-49 -68 -128 -58 0
5 80 128 13 0
-5 -80 -128 -13 0
21 80 128 29 0
-21 -80 -128 -29 0
36 80 128 44 0
-36 -80 -128 -44 0
50 80 128 58 0
-50 -80 -128 -58 0
63 80 128 71 0
-63 -80 -128 -71 0
6 91 128 13 0
-6 -91 -128 -13 0
22 91 128 29 0
-22 -91 -128 -29 0
37 91 128 44 0
-37 -91 -128 -44 0
51 91 128 58 0
-51 -91 -128 -58 0
64 91 128 71 0
-64 -91 -128 -71 0
76 91 128 83 0
-76 -91 -128 -83 0
7 101 128 13 0
-7 -101 -128 -13 0
23 101 128 29 0
-23 -101 -128 -29 0
38 101 128 44 0
-38 -101 -128 -44 0
52 101 128 58 0
-52 -101 -128 -58 0
65 101 128 71 0
-65 -101 -128 -71 0
77 101 128 83 0
-77 -101 -128 -83 0
88 101 128 94 0
-88 -101 -128 -94 0
8 110 128 13 0
-8 -110 -128 -13 0
24 110 128 29 0
-24 -110 -128 -29 0
39 110 128 44 0
-39 -110 -128 -44 0
53 110 128 58 0
-53 -110 -128 -58 0
66 110 128 71 0
-66 -110 -128 -71 0
78 110 128 83 0
-78 -110 -128 -83 0
89 110 128 94 0
-89 -110 -128 -94 0
99 110 128 104 0
-99 -110 -128 -104 0
9 118 128 13 0
-9 -118 -128 -13 0
25 118 128 29 0
-25 -118 -128 -29 0
40 118 128 44 0
-40 -118 -128 -44 0
54 118 128 58 0
-54 -118 -128 -58 0
67 118 128 71 0
-67 -118 -128 -71 0
79 118 128 83 0
-79 -118 -128 -83 0
90 118 128 94 0
-90 -118 -128 -94 0
100 118 128 104 0
-100 -118 -128 -104 0
109 118 128 113 0
-109 -118 -128 -113 0
1 27 134 13 0
-1 -27 -134 -13 0
2 42 134 13 0
-2 -42 -134 -13 0
18 42 134 29 0
-18 -42 -134 -29 0
3 56 134 13 0
-3 -56 -134 -13 0
19 56 134 29 0
-19 -56 -134 -29 0
34 56 134 44 0
-34 -56 -134 -44 0
4 69 134 13 0
-4 -69 -134 -13 0
20 69 134 29 0
-20 -69 -134 -29 0
35 69 134 44 0
-35 -69 -134 -44 0
49 69 134 58 0
-49 -69 -134 -58 0
5 81 134 13 0
-5 -81 -134 -13 0
21 81 134 29 0
-21 -81 -134 -29 0
36 81 134 44 0
-36 -81 -134 -44 0
50 81 134 58 0
-50 -81 -134 -58 0
63 81 134 71 0
-63 -81 -134 -71 0
6 92 134 13 0
-6 -92 -134 -13 0
22 92 134 29 0
-22 -92 -134 -29 0
37 92 134 44 0
-37 -92 -134 -44 0
51 92 134 58 0
-51 -92 -134 -58 0
64 92 134 71 0
-64 -92 -134 -71 0
76 92 134 83 0
-76 -92 -134 -83 0
7 102 134 13 0
-7 -102 -134 -13 0
23 102 134 29 0
-23 -102 -134 -29 0
38 102 134 44 0
-38 -102 -134 -44 0
52 102 134 58 0
-52 -102 -134 -58 0
65 102 134 71 0
-65 -102 -134 -71 0
77 102 134 83 0
-77 -102 -134 -83 0
88 102 134 94 0
-88 -102 -134 -94 0
8 111 134 13 0
-8 -111 -134 -13 0
24 111 134 29 0
-24 -111 -134 -29 0
39 111 134 44 0
-39 -111 -134 -44 0
53 111 134 58 0
-53 -111 -134 -58 0
66 111 134 71 0
-66 -111 -134 -71 0
78 111 134 83 0
-78 -111 -134 -83 0
89 111 134 94 0
-89 -111 -134 -94 0
99 111 134 104 0
-99 -111 -134 -104 0
9 119 134 13 0
-9 -119 -134 -13 0
25 119 134 29 0
-25 -119 -134 -29 0
40 119 134 44 0
-40 -119 -134 -44 0
54 119 134 58 0
-54 -119 -134 -58 0
67 119 134 71 0
-67 -119 -134 -71 0
79 119 134 83 0
-79 -119 -134 -83 0
90 119 134 94 0
-90 -119 -134 -94 0
100 119 134 104 0
-100 -119 -134 -104 0
109 119 134 113 0
-109 -119 -134 -113 0
10 126 134 13 0
-10 -126 -134 -13 0
26 126 134 29 0
-26 -126 -134 -29 0
41 126 134 44 0
-41 -126 -134 -44 0
55 126 134 58 0
-55 -126 -134 -58 0
68 126 134 71 0
-68 -126 -134 -71 0
80 126 134 83 0
-80 -126 -134 -83 0
91 126 134 94 0
-91 -126 -134 -94 0
101 126 134 104 0
-101 -126 -134 -104 0
110 126 134 113 0
-110 -126 -134 -113 0
118 126 134 121 0
-118 -126 -134 -121 0
1 28 139 13 0
-1 -28 -139 -13 0
2 43 139 13 0
-2 -43 -139 -13 0
18 43 139 29 0
-18 -43 -139 -29 0
3 57 139 13 0
-3 -57 -139 -13 0
19 57 139 29 0
-19 -57 -139 -29 0
34 57 139 44 0
-34 -57 -139 -44 0
4 70 139 13 0
-4 -70 -139 -13 0
20 70 139 29 0
-20 -70 -139 -29 0
35 70 139 44 0
-35 -70 -139 -44 0
49 70 139 58 0
-49 -70 -139 -58 0
5 82 139 13 0
-5 -82 -139 -13 0
21 82 139 29 0
-21 -82 -139 -29 0
36 82 139 44 0
-36 -82 -139 -44 0
50 82 139 58 0
-50 -82 -139 -58 0
63 82 139 71 0
-63 -82 -139 -71 0
6 93 139 13 0
-6 -93 -139 -13 0
22 93 139 29 0
-22 -93 -139 -29 0
37 93 139 44 0
-37 -93 -139 -44 0
51 93 139 58 0
-51 -93 -139 -58 0
64 93 139 71 0
-64 -93 -139 -71 0
76 93 139 83 0
-76 -93 -139 -83 0
7 103 139 13 0
-7 -103 -139 -13 0
23 103 139 29 0
-23 -103 -139 -29 0
38 103 139 44 0
-38 -103 -139 -44 0
52 103 139 58 0
-52 -103 -139 -58 0
65 103 139 71 0
-65 -103 -139 -71 0
77 103 139 83 0
-77 -103 -139 -83 0
88 103 139 94 0
-88 -103 -139 -94 0
8 112 139 13 0
-8 -112 -139 -13 0
24 112 139 29 0
-24 -112 -139 -29 0
39 112 139 44 0
-39 -112 -139 -44 0
53 112 139 58 0
-53 -112 -139 -58 0
66 112 139 71 0
-66 -112 -139 -71 0
78 112 139 83 0
-78 -112 -139 -83 0
89 112 139 94 0
-89 -112 -139 -94 0
99 112 139 104 0
-99 -112 -139 -104 0
9 120 139 13 0
-9 -120 -139 -13 0
25 120 139 29 0
-25 -120 -139 -29 0
40 120 139 44 0
-40 -120 -139 -44 0
54 120 139 58 0
-54 -120 -139 -58 0
67 120 139 71 0
-67 -120 -139 -71 0
79 120 139 83 0
-79 -120 -139 -83 0
90 120 139 94 0
-90 -120 -139 -94 0
100 120 139 104 0
-100 -120 -139 -104 0
109 120 139 113 0
-109 -120 -139 -113 0
10 127 139 13 0
-10 -127 -139 -13 0
26 127 139 29 0
-26 -127 -139 -29 0
41 127 139 44 0
-41 -127 -139 -44 0
55 127 139 58 0
-55 -127 -139 -58 0
68 127 139 71 0
-68 -127 -139 -71 0
80 127 139 83 0
-80 -127 -139 -83 0
91 127 139 94 0
-91 -127 -139 -94 0
101 127 139 104 0
-101 -127 -139 -104 0
110 127 139 113 0
-110 -127 -139 -113 0
118 127 139 121 0
-118 -127 -139 -121 0
11 133 139 13 0
-11 -133 -139 -13 0
27 133 139 29 0
-27 -133 -139 -29 0
42 133 139 44 0
-42 -133 -139 -44 0
56 133 139 58 0
-56 -133 -139 -58 0
69 133 139 71 0
-69 -133 -139 -71 0
81 133 139 83 0
-81 -133 -139 -83 0
92 133 139 94 0
-92 -133 -139 -94 0
102 133 139 104 0
-102 -133 -139 -104 0
111 133 139 113 0
-111 -133 -139 -113 0
119 133 139 121 0
-119 -133 -139 -121 0
126 133 139 128 0
-126 -133 -139 -128 0
1 18 45 14 0
-1 -18 -45 -14 0
1 19 59 14 0
-1 -19 -59 -14 0
2 34 59 14 0
-2 -34 -59 -14 0
18 34 59 30 0
-18 -34 -59 -30 0
1 20 72 14 0
-1 -20 -72 -14 0
2 35 72 14 0
-2 -35 -72 -14 0
18 35 72 30 0
-18 -35 -72 -30 0
3 49 72 14 0
-3 -49 -72 -14 0
19 49 72 30 0
-19 -49 -72 -30 0
34 49 72 45 0
-34 -49 -72 -45 0
1 21 84 14 0
-1 -21 -84 -14 0
2 36 84 14 0
-2 -36 -84 -14 0
18 36 84 30 0
-18 -36 -84 -30 0
3 50 84 14 0
-3 -50 -84 -14 0
19 50 84 30 0
-19 -50 -84 -30 0
34 50 84 45 0
-34 -50 -84 -45 0
4 63 84 14 0
-4 -63 -84 -14 0
20 63 84 30 0
-20 -63 -84 -30 0
35 63 84 45 0
-35 -63 -84 -45 0
49 63 84 59 0
-49 -63 -84 -59 0
1 22 95 14 0
-1 -22 -95 -14 0
2 37 95 14 0
-2 -37 -95 -14 0
18 37 95 30 0
-18 -37 -95 -30 0
3 51 95 14 0
-3 -51 -95 -14 0
19 51 95 30 0
-19 -51 -95 -30 0
34 51 95 45 0
-34 -51 -95 -45 0
4 64 95 14 0
-4 -64 -95 -14 0
20 64 95 30 0
-20 -64 -95 -30 0
35 64 95 45 0
-35 -64 -95 -45 0
49 64 95 59 0
-49 -64 -95 -59 0
5 76 95 14 0
-5 -76 -95 -14 0
21 76 95 30 0
-21 -76 -95 -30 0
36 76 95 45 0
-36 -76 -95 -45 0
50 76 95 59 0
-50 -76 -95 -59 0
63 76 95 72 0
-63 -76 -95 -72 0
1 23 105 14 0
-1 -23 -105 -14 0
2 38 105 14 0
-2 -38 -105 -14 0
18 38 105 30 0
-18 -38 -105 -30 0
3 52 105 14 0
-3 -52 -105 -14 0
19 52 105 30 0
-19 -52 -105 -30 0
34 52 105 45 0
-34 -52 -105 -45 0
4 65 105 14 0
-4 -65 -105 -14 0
20 65 105 30 0
-20 -65 -105 -30 0
35 65 105 45 0
-35 -65 -105 -45 0
49 65 105 59 0
-49 -65 -105 -59 0
5 77 105 14 0
-5 -77 -105 -14 0
21 77 105 30 0
-21 -77 -105 -30 0
36 77 105 45 0
-36 -77 -105 -45 0
50 77 105 59 0
-50 -77 -105 -59 0
63 77 105 72 0
-63 -77 -105 -72 0
6 88 105 14 0
-6 -88 -105 -14 0
22 88 105 30 0
-22 -88 -105 -30 0
37 88 105 45 0
-37 -88 -105 -45 0
51 88 105 59 0
-51 -88 -105 -59 0
64 88 105 72 0
-64 -88 -105 -72 0
76 88 105 84 0
-76 -88 -105 -84 0
1 24 114 14 0
-1 -24 -114 -14 0
2 39 114 14 0
-2 -39 -114 -14 0
18 39 114 30 0
-18 -39 -114 -30 0
3 53 114 14 0
-3 -53 -114 -14 0
19 53 114 30 0
-19 -53 -114 -30 0
34 53 114 45 0
-34 -53 -114 -45 0
4 66 114 14 0
-4 -66 -114 -14 0
20 66 114 30 0
-20 -66 -114 -30 0
35 66 114 45 0
-35 -66 -114 -45 0
49 66 114 59 0
-49 -66 -114 -59 0
5 78 114 14 0
-5 -78 -114 -14 0
21 78 114 30 0
-21 -78 -114 -30 0
36 78 114 45 0
-36 -78 -114 -45 0
50 78 114 59 0
-50 -78 -114 -59 0
63 78 114 72 0
-63 -78 -114 -72 0
6 89 114 14 0
-6 -89 -114 -14 0
22 89 114 30 0
-22 -89 -114 -30 0
37 89 114 45 0
-37 -89 -114 -45 0
51 89 114 59 0
-51 -89 -114 -59 0
64 89 114 72 0
-64 -89 -114 -72 0
76 89 114 84 0
-76 -89 -114 -84 0
7 99 114 14 0
-7 -99 -114 -14 0
23 99 114 30 0
-23 -99 -114 -30 0
38 99 114 45 0
-38 -99 -114 -45 0
52 99 114 59 0
-52 -99 -114 -59 0
65 99 114 72 0
-65 -99 -114 -72 0
77 99 114 84 0
-77 -99 -114 -84 0
88 99 114 95 0
-88 -99 -114 -95 0
1 25 122 14 0
-1 -25 -122 -14 0
2 40 122 14 0
-2 -40 -122 -14 0
18 40 122 30 0
-18 -40 -122 -30 0
3 54 122 14 0
-3 -54 -122 -14 0
19 54 122 30 0
-19 -54 -122 -30 0
34 54 122 45 0
-34 -54 -122 -45 0
4 67 122 14 0
-4 -67 -122 -14 0
20 67 122 30 0
-20 -67 -122 -30 0
35 67 122 45 0
-35 -67 -122 -45 0
49 67 122 59 0
-49 -67 -122 -59 0
5 79 122 14 0
-5 -79 -122 -14 0
21 79 122 30 0
-21 -79 -122 -30 0
36 79 122 45 0
-36 -79 -122 -45 0
50 79 122 59 0
-50 -79 -122 -59 0
63 79 122 72 0
-63 -79 -122 -72 0
6 90 122 14 0
-6 -90 -122 -14 0
22 90 122 30 0
-22 -90 -122 -30 0
37 90 122 45 0
-37 -90 -122 -45 0
51 90 122 59 0
-51 -90 -122 -59 0
64 90 122 72 0
-64 -90 -122 -72 0
76 90 122 84 0
-76 -90 -122 -84 0
7 100 122 14 0
-7 -100 -122 -14 0
23 100 122 30 0
-23 -100 -122 -30 0
38 100 122 45 0
-38 -100 -122 -45 0
52 100 122 59 0
-52 -100 -122 -59 0
65 100 122 72 0
-65 -100 -122 -72 0
77 100 122 84 0
-77 -100 -122 -84 0
88 100 122 95 0
-88 -100 -122 -95 0
8 109 122 14 0
-8 -109 -122 -14 0
24 109 122 30 0
-24 -109 -122 -30 0
39 109 122 45 0
-39 -109 -122 -45 0
53 109 122 59 0
-53 -109 -122 -59 0
66 109 122 72 0
-66 -109 -122 -72 0
78 109 122 84 0
-78 -109 -122 -84 0
89 109 122 95 0
-89 -109 -122 -95 0
99 109 122 105 0
-99 -109 -122 -105 0
1 26 129 14 0
-1 -26 -129 -14 0
2 41 129 14 0
-2 -41 -129 -14 0
18 41 129 30 0
-18 -41 -129 -30 0
3 55 129 14 0
-3 -55 -129 -14 0
19 55 129 30 0
-19 -55 -129 -30 0
34 55 129 45 0
-34 -55 -129 -45 0
4 68 129 14 0
-4 -68 -129 -14 0
20 68 129 30 0
-20 -68 -129 -30 0
35 68 129 45 0
-35 -68 -129 -45 0
49 68 129 59 0
-49 -68 -129 -59 0
5 80 129 14 0
-5 -80 -129 -14 0
21 80 129 30 0
-21 -80 -129 -30 0
36 80 129 45 0
-36 -80 -129 -45 0
50 80 129 59 0
-50 -80 -129 -59 0
63 80 129 72 0
-63 -80 -129 -72 0
6 91 129 14 0
-6 -91 -129 -14 0
22 91 129 30 0
-22 -91 -129 -30 0
37 91 129 45 0
-37 -91 -129 -45 0
51 91 129 59 0
-51 -91 -129 -59 0
64 91 129 72 0
-64 -91 -129 -72 0
76 91 129 84 0
-76 -91 -129 -84 0
7 101 129 14 0
-7 -101 -129 -14 0
23 101 129 30 0
-23 -101 -129 -30 0
38 101 129 45 0
-38 -101 -129 -45 0
52 101 129 59 0
-52 -101 -129 -59 0
65 101 129 72 0
-65 -101 -129 -72 0
77 101 129 84 0
-77 -101 -129 -84 0
88 101 129 95 0
-88 -101 -129 -95 0
8 110 129 14 0
-8 -110 -129 -14 0
24 110 129 30 0
-24 -110 -129 -30 0
39 110 129 45 0
-39 -110 -129 -45 0
53 110 129 59 0
-53 -110 -129 -59 0
66 110 129 72 0
-66 -110 -129 -72 0
78 110 129 84 0
-78 -110 -129 -84 0
89 110 129 95 0
-89 -110 -129 -95 0
99 110 129 105 0
-99 -110 -129 -105 0
9 118 129 14 0
-9 -118 -129 -14 0
25 118 129 30 0
-25 -118 -129 -30 0
40 118 129 45 0
-40 -118 -129 -45 0
54 118 129 59 0
-54 -118 -129 -59 0
67 118 129 72 0
-67 -118 -129 -72 0
79 118 129 84 0
-79 -118 -129 -84 0
90 118 129 95 0
-90 -118 -129 -95 0
100 118 129 105 0
-100 -118 -129 -105 0
